Document Name,Port Group,Plant Parts,Process Type,Article Type,Document URL
"Assorted Pods with Seeds (Dried, Ground) from All Countries into All Ports"," All Ports"," Seed, Pod"," Dried, Ground"," Fruits and Vegetables, Seeds, Nuts and Grains","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ000000FhUTYA0&Document_Type=Commodity%20Import%20Requirements"
"Various Fermented Fruits, Vegetables, Grains, and Legumes from All Countries into All Ports"," All Ports"," All Plant Parts Including Seed"," Fermented"," Fruits and Vegetables, Seeds, Nuts and Grains","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000oZ3axYAC&Document_Type=Commodity%20Import%20Requirements"
"Dried Cocoa Leaves from All Countries into All Ports"," All Ports"," Leaf (Leaves)"," Dried"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKkAAJ&Document_Type=Commodity%20Import%20Requirements"
"Processed Products from the Malvales Order (except Okra and Hibiscus) from All Countries into All Ports"," All Ports"," All Plant Parts Including Seed"," Cooked, Sterilized, Pureed, Preserved in Liquid, Ground, Pickled, Extracted"," Fruits and Vegetables, Seeds, Nuts and Grains","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000EOIa7YAH&Document_Type=Commodity%20Import%20Requirements"
"Frozen Produce from the Malvales Order from All Countries except Canada into All Ports Doc 1"," All Ports"," All Plant Parts Including Seed"," Quick Frozen"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000PoGG5YAN&Document_Type=Commodity%20Import%20Requirements"
"Dried Products from the Malvales Order (except Okra and Hibiscus) from All Countries into All Ports Doc 1"," All Ports"," All Plant Parts Including Seed"," Dried"," Fruits and Vegetables, Seeds, Nuts and Grains","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000S9m8aYAB&Document_Type=Commodity%20Import%20Requirements"
"Assorted Malvaceae (Cut Flowers) from Chile into All Ports"," All Ports"," Flower, Leaf (Leaves), Stem"," Fresh Cut"," Cut Flowers and Greenery","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000WcP4cYAF&Document_Type=Commodity%20Import%20Requirements"
"Assorted Malvaceae (Cut Flowers) from the Netherlands into All Ports"," All Ports"," Flower, Leaf (Leaves), Stem"," Fresh Cut"," Cut Flowers and Greenery","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000WcP4eYAF&Document_Type=Commodity%20Import%20Requirements"
"Assorted Malvaceae (Cut Flowers) from Multiple Countries into All Ports"," All Ports"," Flower, Leaf (Leaves), Stem"," Fresh Cut"," Cut Flowers and Greenery","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jSJ00000dsCnoYAE&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Saint Lucia into North Atlantic, South Atlantic and Gulf, CNMI, and Guam Ports"," NA, SAG, CNMI, and Guam"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001AhimNAAR&Document_Type=Commodity%20Import%20Requirements"
"Fresh, Frozen, or Pasteurized Juice from the Malvaceae Family from All Countries into All Ports"," All Ports"," Juice"," Juiced, Frozen, Juiced"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001AigHbAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Antigua and Barbuda into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKqAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Bahamas into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKrAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Belize into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKsAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Barbados into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKtAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Dominica into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKuAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Brazil into CNMI, Guam, and North Atlantic Ports"," CNMI, Guam and NA"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKvAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Cayman Islands (United Kingdom) into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKwAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Costa Rica into CNMI, Guam, and North Atlantic Ports"," CNMI, Guam and NA"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKxAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Dominican Republic into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKyAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Ecuador into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaKzAAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from El Salvador into CNMI, Guam, and North Atlantic Ports"," CNMI, Guam and NA"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL0AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from French Guiana into North Atlantic, North Pacific, South Atlantic, Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL1AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Grenada into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL2AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Guatemala into CNMI, Guam, and North Atlantic Ports"," CNMI, Guam and NA"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL3AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Guyana into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL4AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Haiti into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL5AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Honduras into CNMI, Guam, and North Atlantic Ports"," CNMI, Guam and NA"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL6AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Jamaica into North Atlantic, North Pacific, South Atlantic and Gulf, Guam, and CNMI Ports"," NA, NP, SAG, Guam, and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL7AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Mexico into All Ports"," All Ports"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL8AAJ&Document_Type=Commodity%20Import%20Requirements"
"Cacao Bean Pod (Pod) from Micronesia (Federated States of) into Guam and CNMI"," Guam and CNMI"," Pod"," Fresh, Fresh Cut"," Fruits and Vegetables","https://acir.aphis.usda.gov/s/acir-document-detail?rowId=a0jt000001BjaL9AAJ&Document_Type=Commodity%20Import%20Requirements"
